income,shocks,health_access,asset_index,education_level,high_vulnerability
3217.54,5,0.39,0.63,2,0
3906.99,1,0.4,0.96,3,0
526.57,4,0.11,0.8,3,0
3777.56,0,0.69,0.24,2,1
1979.34,0,0.85,0.15,0,0
2642.65,0,0.36,0.44,3,0
1300.67,0,0.84,0.94,3,1
646.13,1,0.07,0.14,4,0
2867.01,2,0.58,0.18,0,0
827.64,2,0.12,0.23,1,1
1300.79,5,0.98,0.53,1,1
3436.67,3,0.92,0.47,3,1
1569.4,5,0.01,0.92,2,0
3508.24,5,0.5,0.49,4,0
519.13,5,0.11,0.3,0,0
1883.16,4,0.97,0.58,1,1
1704.62,1,0.55,0.48,0,0
1886.75,0,0.45,0.23,4,1
1403.8,0,0.22,0.81,0,0
1847.58,2,0.76,0.83,4,1
2099.8,4,0.81,0.71,4,1
2522.23,3,0.99,0.04,2,1
3029.48,4,0.61,0.68,4,0
1011.26,1,0.06,0.39,2,0
2795.98,2,0.2,0.17,2,1
1489.35,5,0.24,0.8,0,0
2489.6,0,0.4,0.95,3,1
1942.84,3,0.32,0.46,3,0
2011.54,2,0.75,0.22,2,0
3334.06,3,0.57,0.38,0,0
3726.66,4,0.17,0.23,1,1
2783.63,3,0.87,0.88,3,1
820.59,4,0.69,0.84,1,0
1236.74,5,0.21,0.97,1,0
662.31,4,0.6,0.43,4,0
1157.29,2,0.75,0.24,3,1
1045.15,1,0.99,0.9,1,0
712.09,5,0.91,0.99,3,1
824.59,2,0.15,1.0,3,0
2621.04,2,0.82,0.17,2,0
1355.99,1,0.71,0.69,1,0
1526.95,1,0.55,0.07,4,1
2568.27,3,0.69,0.4,1,0
755.58,4,0.08,0.17,1,0
3833.34,1,0.44,0.98,0,1
1932.58,4,0.76,0.08,4,0
1723.54,4,0.68,0.4,1,1
1684.9,1,0.25,0.17,1,1
2734.8,1,0.57,0.13,4,0
1911.17,5,0.15,0.56,0,0
2579.82,0,0.78,0.44,0,1
3235.99,5,0.4,0.08,1,0
1681.38,5,0.38,0.44,2,1
3997.02,5,0.62,0.24,1,1
2034.48,0,0.36,0.58,3,0
2660.76,1,0.54,0.49,2,1
3188.24,0,0.47,0.22,0,1
1532.61,4,0.77,0.89,4,1
3290.68,4,0.5,0.38,3,0
2413.8,0,0.58,0.69,1,1
776.61,0,0.38,0.08,3,0
2841.46,3,0.3,0.81,3,1
3202.24,4,0.81,0.95,0,1
780.71,2,0.6,0.93,0,0
844.45,5,0.36,0.92,4,0
3224.48,2,0.98,0.82,3,0
1732.05,0,0.62,0.4,0,1
3741.36,3,0.93,0.06,3,0
855.54,1,0.88,0.27,3,0
1262.96,5,0.39,0.5,0,1
1825.68,2,0.98,0.56,0,0
2417.3,3,0.23,0.71,4,0
2241.6,2,0.32,0.99,1,1
1659.87,5,0.49,0.01,0,1
2741.47,1,0.26,0.4,1,1
1868.5,0,0.53,0.06,3,0
1538.16,5,0.43,0.23,1,0
3701.92,2,0.33,0.48,2,0
2757.65,0,0.83,1.0,3,1
3183.77,4,0.68,0.15,3,0
1628.53,2,0.95,0.81,1,0
3381.94,5,0.55,0.16,3,0
3458.23,1,0.59,0.64,3,1
3440.72,1,0.92,0.51,1,1
1858.29,0,0.6,0.75,0,1
571.92,1,0.01,0.47,2,1
3527.35,2,0.29,0.03,2,0
712.2,5,0.14,0.8,3,1
3854.99,1,0.4,0.27,4,0
1102.98,4,0.54,0.67,2,0
3987.42,4,0.85,0.66,4,0
3152.22,1,0.76,0.8,4,1
1975.79,4,0.42,0.18,4,1
1048.52,5,0.46,0.08,2,1
2602.92,2,0.6,0.82,1,1
3272.05,4,0.23,0.86,1,0
1079.08,2,0.82,0.24,4,0
3619.58,4,0.76,0.25,0,0
880.05,3,0.53,0.33,2,1
1348.83,3,0.87,0.77,3,0
670.22,0,0.66,0.17,4,0
3976.35,4,0.29,0.82,0,0
2764.02,2,0.9,0.04,3,1
2234.0,1,0.63,0.93,0,1
3005.65,2,0.3,0.15,3,1
2224.04,3,0.03,0.57,2,0
2514.04,2,0.59,0.56,0,1
952.4,0,0.22,0.4,0,0
857.34,1,0.12,0.15,3,0
1446.31,2,0.29,0.3,1,1
2896.18,4,0.29,0.02,1,1
2501.27,2,0.68,0.45,3,0
2459.74,4,0.04,0.62,0,1
888.45,0,0.6,0.87,2,0
989.74,4,0.05,0.63,2,1
880.23,2,0.93,0.99,2,1
2585.85,0,0.03,0.04,0,0
3930.03,4,0.41,0.59,2,1
2193.82,1,0.46,0.22,3,0
916.19,2,0.61,0.62,4,0
3257.08,2,0.06,0.93,1,0
3052.92,5,0.68,0.05,2,1
2810.0,5,0.42,0.17,2,0
3862.91,3,0.46,0.74,1,0
2690.78,3,0.49,0.13,3,0
2807.75,2,0.13,0.65,4,1
3337.1,1,0.18,0.09,4,1
1836.35,1,0.9,0.63,0,1
3717.98,5,0.81,0.57,0,1
701.45,0,0.39,0.85,2,0
3506.23,4,0.19,0.2,1,0
3516.1,5,0.58,0.6,2,0
1068.41,5,0.71,0.49,4,0
848.1,5,0.14,0.03,2,0
3230.92,0,0.44,0.12,0,1
1298.54,1,0.44,0.01,3,1
888.78,1,0.9,0.46,0,1
2207.65,2,0.64,0.85,0,1
2477.59,2,0.32,0.48,0,1
3974.48,0,0.18,0.99,0,0
3817.06,5,0.45,0.32,2,0
1924.28,1,0.67,0.34,0,1
977.81,5,0.18,0.18,2,0
3491.57,5,0.13,0.64,3,0
2044.45,2,0.35,0.45,4,0
1219.41,3,0.71,0.01,4,1
3086.75,3,0.9,0.5,4,1
3175.94,5,0.9,0.94,0,1
3005.4,5,0.89,0.36,4,1
2650.76,5,0.32,0.14,4,1
1638.41,4,0.59,0.65,0,0
1139.45,1,0.72,0.63,0,1
1209.29,0,0.99,0.29,0,1
1912.3,3,0.05,0.85,2,1
1965.04,0,0.12,0.36,4,0
1236.14,0,0.65,0.81,1,0
3852.52,2,0.35,0.68,2,0
808.16,1,0.01,0.65,1,0
1118.85,3,0.43,0.39,4,1
1183.76,3,0.46,0.93,3,0
2374.8,0,0.88,0.68,4,0
3732.62,2,0.14,0.8,3,1
3548.54,4,0.7,0.32,3,1
2574.62,1,0.66,0.28,0,0
1070.83,0,0.46,0.04,0,0
3521.67,2,0.49,0.08,0,0
1400.52,5,0.81,0.8,4,1
3980.34,5,0.18,0.88,3,1
1011.66,4,0.39,0.15,2,0
3784.4,4,0.71,0.02,4,1
2375.94,2,0.46,0.86,0,1
1158.17,1,0.91,0.89,2,1
1674.81,3,0.34,0.75,1,0
2173.71,0,0.37,0.33,4,1
2153.55,3,0.4,0.55,1,0
2205.65,0,0.06,0.13,4,0
1079.06,0,0.6,0.13,1,1
534.31,5,0.55,0.41,0,0
2332.16,0,0.06,0.53,2,0
2495.42,4,0.03,0.38,3,0
3990.18,4,0.08,0.3,1,1
3664.54,2,0.6,0.81,4,0
1987.78,1,0.49,0.38,1,0
1729.31,0,0.46,0.54,1,1
1548.13,1,0.8,0.07,4,1
3932.89,2,0.28,0.92,1,1
2323.88,4,0.85,0.22,4,0
695.37,5,0.77,0.84,3,0
3040.78,0,0.4,0.28,1,0
3521.11,4,0.44,0.78,4,1
2859.24,0,0.0,0.19,2,0
3007.96,1,0.17,0.28,0,1
3450.91,1,0.36,0.85,3,0
2309.26,1,0.57,0.94,3,1
1779.06,1,0.14,0.72,1,0
1120.33,4,0.97,0.49,2,0
3733.67,3,0.42,0.37,1,0
3528.3,5,0.96,0.31,1,1
2291.12,1,0.22,0.22,1,1
557.56,2,0.48,0.72,2,1
2128.57,2,0.47,0.51,3,1
1270.98,2,0.59,0.33,1,1
1178.56,0,0.8,0.15,1,0
3223.06,4,0.47,0.26,4,0
1479.1,5,0.3,0.14,3,0
808.36,0,0.07,0.43,4,1
1453.11,0,0.11,0.1,0,0
1694.12,1,0.33,0.56,0,1
1971.96,1,0.08,0.5,3,0
3796.58,0,0.65,0.2,1,0
843.31,4,0.84,0.48,2,1
2899.12,5,0.46,0.69,1,1
2971.94,4,0.43,0.43,1,1
3259.94,0,0.8,0.78,0,1
3158.31,1,0.12,0.65,4,0
1475.03,2,0.57,0.45,3,0
1823.76,4,0.96,0.26,3,0
861.16,4,0.5,0.02,3,0
1834.8,5,0.56,0.4,4,1
1229.14,5,0.34,0.46,0,0
3893.02,3,0.22,0.75,0,1
854.33,2,0.73,0.85,1,1
2877.84,3,0.59,0.85,1,0
763.34,5,0.78,0.67,0,0
1833.43,0,0.11,0.17,2,1
512.35,3,0.37,0.54,3,0
2343.09,4,0.25,0.72,3,0
2502.43,0,0.08,0.05,3,1
3555.86,1,0.66,0.18,2,0
983.19,3,0.44,0.64,1,0
1875.07,2,0.09,0.96,2,0
1393.24,3,0.62,0.58,1,1
626.93,2,0.98,0.88,0,0
3625.85,4,0.73,0.13,4,1
3485.17,1,0.27,0.36,3,1
1941.11,3,0.98,0.54,1,0
3772.31,2,0.32,0.97,2,0
1493.16,5,0.56,0.59,4,1
2344.15,1,0.9,0.47,3,1
1224.41,2,0.76,0.3,0,1
1557.0,3,0.42,0.67,3,0
3530.01,2,0.4,0.37,2,0
1212.81,2,0.6,0.48,0,1
1721.74,3,0.23,0.37,4,0
770.03,4,0.33,0.93,4,0
3956.29,1,0.37,0.86,4,0
1543.11,1,0.86,0.0,0,1
1342.06,2,0.97,0.32,0,1
661.28,5,0.06,0.76,3,1
1335.77,1,0.18,0.45,3,1
1062.24,2,0.52,0.59,1,0
1970.92,2,0.95,0.91,4,0
2968.98,5,0.87,0.64,1,1
3173.12,5,0.38,0.94,0,0
2699.81,4,0.78,0.39,4,1
3240.33,5,0.16,0.23,4,0
2834.54,1,0.56,0.14,2,1
1110.12,4,0.89,0.19,4,0
3422.92,3,0.48,0.33,0,1
1603.59,5,0.22,0.03,0,0
860.4,3,0.64,0.41,4,1
2497.38,5,0.46,0.82,0,1
588.97,3,0.84,0.89,3,1
3149.99,3,0.91,0.08,2,1
2351.21,3,0.29,0.7,2,1
2729.35,0,0.46,0.33,2,1
958.62,4,0.13,0.95,2,1
2277.99,3,0.06,0.69,4,1
1995.94,5,0.52,0.71,3,1
3516.88,5,0.61,0.4,4,0
2742.89,2,0.5,0.25,4,1
1148.24,2,0.21,0.17,4,1
567.28,2,0.81,0.19,0,0
2588.69,4,0.36,0.73,2,0
1380.47,5,0.71,0.23,2,0
3227.02,3,0.55,0.29,2,0
2488.14,4,0.01,0.01,2,1
3082.66,4,0.51,0.48,4,1
3475.11,3,0.19,0.01,2,0
1788.11,1,0.92,0.94,4,1
2151.98,5,0.36,0.97,3,0
3625.83,0,0.1,0.18,2,1
3460.44,0,0.55,0.98,4,1
637.66,4,0.67,0.38,0,1
3949.76,2,0.12,0.86,0,1
1748.81,3,0.88,0.65,4,1
1361.15,2,0.59,0.16,1,1
3168.16,4,0.0,0.17,4,0
540.06,0,0.02,0.17,3,0
1812.98,2,0.36,0.55,2,0
2736.78,0,0.83,0.47,3,1
2474.26,3,0.19,0.61,4,0
3950.01,4,0.31,0.83,0,0
2607.94,0,0.29,0.73,3,0
823.77,4,0.87,0.8,2,0
2843.04,4,0.67,0.68,2,1
2845.47,2,0.11,0.27,1,0
2767.34,3,0.13,0.41,2,1
682.31,5,0.27,0.72,2,1
1589.95,2,0.27,0.21,2,1
2935.28,0,0.31,0.11,3,0
1023.97,2,0.84,0.25,2,1
595.81,5,0.09,0.12,3,1
2280.81,1,0.14,0.01,0,0
3323.11,1,0.59,0.25,0,1
803.66,5,0.64,0.14,1,1
2491.77,3,0.39,0.08,0,1
3986.27,1,0.33,0.25,3,0
610.03,1,0.46,0.46,1,0
1622.13,5,0.4,0.66,4,1
1058.38,0,0.85,0.23,4,0
2336.38,0,0.21,0.84,1,0
3727.04,1,0.89,0.6,3,0
3745.33,5,0.65,0.81,1,0
970.45,2,0.24,0.67,1,0
1515.24,1,0.43,0.63,1,1
3926.0,1,0.88,0.53,1,0
3579.24,3,0.46,0.52,3,0
3152.05,5,0.81,0.31,0,1
1846.23,4,0.88,0.08,1,0
3973.59,0,0.35,0.74,1,1
2788.61,4,0.36,0.6,4,0
1355.28,3,0.52,0.21,3,0
3118.08,3,0.73,0.93,2,0
945.46,2,0.37,0.56,1,0
799.83,3,0.34,0.06,4,1
2572.28,1,0.87,0.26,2,0
2144.34,4,0.6,0.41,4,0
2230.04,1,0.26,0.83,4,0
3928.39,5,0.53,0.75,0,0
2203.73,5,0.78,0.15,1,1
1453.5,5,0.59,0.34,2,1
612.3,2,0.02,0.39,4,0
1938.93,2,0.39,0.03,2,1
2641.9,3,0.25,0.39,2,1
1068.63,5,0.95,0.84,0,1
1076.6,0,0.44,0.16,0,0
2778.35,5,0.28,0.18,0,0
739.33,0,0.57,0.13,3,0
3474.32,3,0.52,0.74,1,1
3403.88,2,0.74,0.28,3,1
2641.35,3,0.5,0.87,1,1
2957.06,4,0.35,0.05,0,1
583.55,4,0.96,0.21,3,0
2451.22,5,0.26,0.98,3,1
2000.5,2,0.01,0.48,0,1
1584.79,4,0.21,0.8,1,1
2705.71,5,0.25,0.61,2,1
600.28,0,0.58,0.77,1,0
3614.56,1,0.76,0.64,0,1
3750.44,2,0.14,0.2,4,0
2422.41,3,0.32,0.32,4,0
3814.43,1,0.7,0.33,1,1
3475.62,1,0.6,0.82,3,1
1368.91,3,0.39,0.78,1,1
2448.16,1,0.22,0.61,2,0
2373.85,2,0.98,0.5,3,1
3441.31,1,0.55,0.54,2,0
3572.33,3,0.45,0.23,3,1
987.27,5,0.68,0.56,0,0
2278.96,1,0.26,0.82,3,1
3515.54,1,0.81,0.68,2,0
689.37,1,0.45,0.12,1,1
3689.95,2,0.75,0.18,1,1
1448.88,0,0.47,0.45,4,1
3092.52,3,0.15,0.88,2,1
846.45,3,0.29,0.03,2,0
2729.81,2,0.8,0.84,0,1
3071.9,0,0.72,0.92,0,1
3244.73,2,0.53,0.75,3,0
908.85,0,0.66,0.79,4,1
3067.24,1,0.42,0.93,1,1
3590.42,1,0.96,0.08,1,1
2047.52,1,0.73,0.81,4,1
2699.18,4,0.99,0.85,3,1
3534.16,5,0.86,0.97,4,1
2509.94,4,0.68,0.37,1,0
1430.58,4,0.24,0.99,1,0
2909.41,1,0.07,0.76,1,1
2252.17,1,0.82,0.5,1,1
1253.66,1,0.14,0.37,1,0
1466.28,3,0.4,0.44,3,0
1187.29,4,0.97,0.53,2,0
3328.88,3,0.42,0.04,2,0
2531.32,1,0.67,0.61,3,1
3890.59,3,0.25,0.29,4,1
1883.25,3,0.4,0.05,4,0
2036.54,0,0.62,0.44,3,1
981.07,5,0.96,0.12,2,0
915.02,1,0.83,0.77,4,1
3650.14,1,0.34,0.09,1,1
1296.25,1,0.25,0.51,3,1
3485.05,1,0.02,0.16,3,0
3452.54,0,0.27,0.3,3,0
2643.39,1,0.27,0.93,3,1
510.84,1,0.14,0.98,0,0
1442.79,4,0.05,0.32,1,0
1823.59,3,0.34,0.7,1,0
3780.07,1,0.76,0.9,3,1
2702.7,3,0.87,0.78,0,0
3404.78,1,0.74,0.01,4,1
1308.84,1,0.04,0.58,0,0
1885.52,1,0.62,0.62,4,0
3886.67,2,0.63,0.36,0,1
2740.5,1,0.95,0.7,2,0
1980.61,1,0.5,0.66,2,1
907.13,2,0.27,0.09,1,0
891.56,2,0.81,0.03,1,0
1998.34,0,0.2,0.54,4,0
2441.54,2,0.81,0.26,0,0
1538.32,0,0.2,0.11,0,0
1031.77,4,0.79,0.61,3,1
743.18,5,0.69,0.43,0,1
3108.58,5,0.99,0.45,3,1
1549.14,2,0.27,0.78,2,1
2507.04,2,0.23,0.67,0,0
2328.39,1,0.62,0.93,2,1
3726.76,3,0.33,0.75,1,1
2457.7,1,0.41,0.35,1,0
572.96,1,0.45,0.96,1,1
1937.94,5,0.47,0.89,3,1
3114.87,4,0.53,0.87,3,1
1742.68,1,0.15,0.31,4,1
515.39,1,0.56,0.78,3,0
3375.92,5,0.2,0.31,1,0
2719.1,2,0.05,0.15,3,1
3543.96,0,0.33,0.47,2,0
2155.13,0,0.63,0.15,1,0
2382.29,3,0.19,0.52,2,1
2915.12,3,0.72,0.49,3,1
3192.86,4,0.4,0.22,1,1
1052.2,4,0.77,0.91,2,1
3630.34,4,0.32,0.36,4,1
2482.43,5,0.27,0.89,0,1
2722.4,5,0.98,0.11,2,1
1975.38,2,0.92,0.29,1,0
2398.22,2,0.02,0.98,1,0
3180.2,3,0.63,0.7,3,0
3211.32,5,0.56,0.6,1,1
975.29,5,0.54,0.63,3,0
3118.57,2,0.58,0.65,1,1
1379.99,5,0.29,0.92,3,1
960.11,5,0.65,0.93,1,0
1054.79,5,0.06,0.32,3,0
1487.47,3,0.82,0.19,4,1
1529.98,4,0.68,0.81,0,0
3734.63,0,0.67,0.3,0,0
